yl_number,l_link,l_link/_text,l_link/_title,toplamnfus_number,erkeknfusu_number,kadnnfusu_number,nfusyzdesi_number
"2015","http://www.nufusu.com/il/istanbul-nufusu","İstanbul","İstanbul Nüfusu","14.657","7.36","7.296","18.61"
"2015","http://www.nufusu.com/il/ankara-nufusu","Ankara","Ankara Nüfusu","5.27","2.621","2.649","6.69"
"2015","http://www.nufusu.com/il/izmir-nufusu","İzmir","İzmir Nüfusu","4.168","2.078","2.09","5.29"
"2015","http://www.nufusu.com/il/bursa-nufusu","Bursa","Bursa Nüfusu","2.842","1.423","1.418","3.61"
"2015","http://www.nufusu.com/il/antalya-nufusu","Antalya","Antalya Nüfusu","2.288","1.156","1.132","2.91"
"2015","http://www.nufusu.com/il/adana-nufusu","Adana","Adana Nüfusu","2.183","1.091","1.092","2.77"
"2015","http://www.nufusu.com/il/konya-nufusu","Konya","Konya Nüfusu","2.13","1.056","1.074","2.71"
"2015","http://www.nufusu.com/il/gaziantep-nufusu","Gaziantep","Gaziantep Nüfusu","1.931","976.126","955.71","2.45"
"2015","http://www.nufusu.com/il/sanliurfa-nufusu","Şanlıurfa","Şanlıurfa Nüfusu","1.892","950.493","941.827","2.4"
"2015","http://www.nufusu.com/il/kocaeli-nufusu","Kocaeli","Kocaeli Nüfusu","1.78","901.86","878.195","2.26"
"2015","http://www.nufusu.com/il/mersin-nufusu","Mersin","Mersin Nüfusu","1.745","869.989","875.232","2.22"
"2015","http://www.nufusu.com/il/diyarbakir-nufusu","Diyarbakır","Diyarbakır Nüfusu","1.654","834.354","819.842","2.1"
"2015","http://www.nufusu.com/il/hatay-nufusu","Hatay","Hatay Nüfusu","1.533","769.131","764.376","1.95"
"2015","http://www.nufusu.com/il/manisa-nufusu","Manisa","Manisa Nüfusu","1.38","691.955","688.411","1.75"
"2015","http://www.nufusu.com/il/kayseri-nufusu","Kayseri","Kayseri Nüfusu","1.341","672.828","668.228","1.7"
"2015","http://www.nufusu.com/il/samsun-nufusu","Samsun","Samsun Nüfusu","1.279","632.014","647.87","1.63"
"2015","http://www.nufusu.com/il/balikesir-nufusu","Balıkesir","Balıkesir Nüfusu","1.186","592.718","593.97","1.51"
"2015","http://www.nufusu.com/il/kahramanmaras-nufusu","Kahramanmaraş","Kahramanmaraş Nüfusu","1.096","556.607","540.003","1.39"
"2015","http://www.nufusu.com/il/van-nufusu","Van","Van Nüfusu","1.096","560.48","535.917","1.39"
"2015","http://www.nufusu.com/il/aydin-nufusu","Aydın","Aydın Nüfusu","1.053","525.267","528.239","1.34"
"2015","http://www.nufusu.com/il/denizli-nufusu","Denizli","Denizli Nüfusu","993.442","494.808","498.634","1.26"
"2015","http://www.nufusu.com/il/sakarya-nufusu","Sakarya","Sakarya Nüfusu","953.181","477.879","475.302","1.21"
"2015","http://www.nufusu.com/il/tekirdag-nufusu","Tekirdağ","Tekirdağ Nüfusu","937.91","482.404","455.506","1.19"
"2015","http://www.nufusu.com/il/mugla-nufusu","Muğla","Muğla Nüfusu","908.877","463.411","445.466","1.15"
"2015","http://www.nufusu.com/il/eskisehir-nufusu","Eskişehir","Eskişehir Nüfusu","826.716","412.205","414.511","1.05"
"2015","http://www.nufusu.com/il/mardin-nufusu","Mardin","Mardin Nüfusu","796.591","400.478","396.113","1.01"
"2015","http://www.nufusu.com/il/malatya-nufusu","Malatya","Malatya Nüfusu","772.904","385.44","387.464","0.98"
"2015","http://www.nufusu.com/il/trabzon-nufusu","Trabzon","Trabzon Nüfusu","768.417","379.708","388.709","0.98"
"2015","http://www.nufusu.com/il/erzurum-nufusu","Erzurum","Erzurum Nüfusu","762.321","382.163","380.158","0.97"
"2015","http://www.nufusu.com/il/ordu-nufusu","Ordu","Ordu Nüfusu","728.949","364.236","364.713","0.93"
"2015","http://www.nufusu.com/il/afyonkarahisar-nufusu","Afyonkarahisar","Afyonkarahisar Nüfusu","709.015","351.993","357.022","0.9"
"2015","http://www.nufusu.com/il/sivas-nufusu","Sivas","Sivas Nüfusu","618.617","307.439","311.178","0.79"
"2015","http://www.nufusu.com/il/adiyaman-nufusu","Adıyaman","Adıyaman Nüfusu","602.774","303.163","299.611","0.77"
"2015","http://www.nufusu.com/il/zonguldak-nufusu","Zonguldak","Zonguldak Nüfusu","595.907","294.679","301.228","0.76"
"2015","http://www.nufusu.com/il/tokat-nufusu","Tokat","Tokat Nüfusu","593.99","294.381","299.609","0.75"
"2015","http://www.nufusu.com/il/elazig-nufusu","Elazığ","Elazığ Nüfusu","574.304","285.511","288.793","0.73"
"2015","http://www.nufusu.com/il/kutahya-nufusu","Kütahya","Kütahya Nüfusu","571.463","282.816","288.647","0.73"
"2015","http://www.nufusu.com/il/batman-nufusu","Batman","Batman Nüfusu","566.633","284.866","281.767","0.72"
"2015","http://www.nufusu.com/il/agri-nufusu","Ağrı","Ağrı Nüfusu","547.21","284.243","262.967","0.69"
"2015","http://www.nufusu.com/il/corum-nufusu","Çorum","Çorum Nüfusu","525.18","259.993","265.187","0.67"
"2015","http://www.nufusu.com/il/canakkale-nufusu","Çanakkale","Çanakkale Nüfusu","513.341","259.721","253.62","0.65"
"2015","http://www.nufusu.com/il/osmaniye-nufusu","Osmaniye","Osmaniye Nüfusu","512.873","258.959","253.914","0.65"
"2015","http://www.nufusu.com/il/sirnak-nufusu","Şırnak","Şırnak Nüfusu","490.184","256.529","233.655","0.62"
"2015","http://www.nufusu.com/il/giresun-nufusu","Giresun","Giresun Nüfusu","426.686","210.967","215.719","0.54"
"2015","http://www.nufusu.com/il/isparta-nufusu","Isparta","Isparta Nüfusu","421.766","210.152","211.614","0.54"
"2015","http://www.nufusu.com/il/yozgat-nufusu","Yozgat","Yozgat Nüfusu","419.44","209.376","210.064","0.53"
"2015","http://www.nufusu.com/il/mus-nufusu","Muş","Muş Nüfusu","408.728","208.329","200.399","0.52"
"2015","http://www.nufusu.com/il/edirne-nufusu","Edirne","Edirne Nüfusu","402.537","203.349","199.188","0.51"
"2015","http://www.nufusu.com/il/aksaray-nufusu","Aksaray","Aksaray Nüfusu","386.514","192.688","193.826","0.49"
"2015","http://www.nufusu.com/il/kastamonu-nufusu","Kastamonu","Kastamonu Nüfusu","372.633","184.585","188.048","0.47"
"2015","http://www.nufusu.com/il/duzce-nufusu","Düzce","Düzce Nüfusu","360.388","181.197","179.191","0.46"
"2015","http://www.nufusu.com/il/usak-nufusu","Uşak","Uşak Nüfusu","353.048","176.281","176.767","0.45"
"2015","http://www.nufusu.com/il/kirklareli-nufusu","Kırklareli","Kırklareli Nüfusu","346.973","177.352","169.621","0.44"
"2015","http://www.nufusu.com/il/nigde-nufusu","Niğde","Niğde Nüfusu","346.114","172.643","173.471","0.44"
"2015","http://www.nufusu.com/il/bitlis-nufusu","Bitlis","Bitlis Nüfusu","340.449","176.929","163.52","0.43"
"2015","http://www.nufusu.com/il/rize-nufusu","Rize","Rize Nüfusu","328.979","163.379","165.6","0.42"
"2015","http://www.nufusu.com/il/amasya-nufusu","Amasya","Amasya Nüfusu","322.167","159.325","162.842","0.41"
"2015","http://www.nufusu.com/il/siirt-nufusu","Siirt","Siirt Nüfusu","320.351","165.034","155.317","0.41"
"2015","http://www.nufusu.com/il/kars-nufusu","Kars","Kars Nüfusu","292.66","152.04","140.62","0.37"
"2015","http://www.nufusu.com/il/bolu-nufusu","Bolu","Bolu Nüfusu","291.095","144.501","146.594","0.37"
"2015","http://www.nufusu.com/il/nevsehir-nufusu","Nevşehir","Nevşehir Nüfusu","286.767","141.942","144.825","0.36"
"2015","http://www.nufusu.com/il/hakkari-nufusu","Hakkari","Hakkari Nüfusu","278.775","151.013","127.762","0.35"
"2015","http://www.nufusu.com/il/kirikkale-nufusu","Kırıkkale","Kırıkkale Nüfusu","270.271","135.024","135.247","0.34"
"2015","http://www.nufusu.com/il/bingol-nufusu","Bingöl","Bingöl Nüfusu","267.184","136.601","130.583","0.34"
"2015","http://www.nufusu.com/il/burdur-nufusu","Burdur","Burdur Nüfusu","258.339","128.049","130.29","0.33"
"2015","http://www.nufusu.com/il/karaman-nufusu","Karaman","Karaman Nüfusu","242.196","120.94","121.256","0.31"
"2015","http://www.nufusu.com/il/karabuk-nufusu","Karabük","Karabük Nüfusu","236.978","119.332","117.646","0.3"
"2015","http://www.nufusu.com/il/yalova-nufusu","Yalova","Yalova Nüfusu","233.009","116.15","116.859","0.3"
"2015","http://www.nufusu.com/il/kirsehir-nufusu","Kırşehir","Kırşehir Nüfusu","225.562","112.121","113.441","0.29"
"2015","http://www.nufusu.com/il/erzincan-nufusu","Erzincan","Erzincan Nüfusu","222.918","113.158","109.76","0.28"
"2015","http://www.nufusu.com/il/bilecik-nufusu","Bilecik","Bilecik Nüfusu","212.361","109.794","102.567","0.27"
"2015","http://www.nufusu.com/il/sinop-nufusu","Sinop","Sinop Nüfusu","204.133","101.139","102.994","0.26"
"2015","http://www.nufusu.com/il/igdir-nufusu","Iğdır","Iğdır Nüfusu","192.435","99.099","93.336","0.24"
"2015","http://www.nufusu.com/il/bartin-nufusu","Bartın","Bartın Nüfusu","190.708","94.138","96.57","0.24"
"2015","http://www.nufusu.com/il/cankiri-nufusu","Çankırı","Çankırı Nüfusu","180.945","90.34","90.605","0.23"
"2015","http://www.nufusu.com/il/artvin-nufusu","Artvin","Artvin Nüfusu","168.37","84.679","83.691","0.21"
"2015","http://www.nufusu.com/il/gumushane-nufusu","Gümüşhane","Gümüşhane Nüfusu","151.449","76.77","74.679","0.19"
"2015","http://www.nufusu.com/il/kilis-nufusu","Kilis","Kilis Nüfusu","130.655","65.407","65.248","0.17"
"2015","http://www.nufusu.com/il/ardahan-nufusu","Ardahan","Ardahan Nüfusu","99.265","51.141","48.124","0.13"
