                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
                                           A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                           f                                                                                                                                                                                                                                                                                                                                                                                                  K                                                                                                                                                                                                                                                                                                                             
                                           y                                                                                                                                                                                                                                                                             M                                                                                                                    a                                                                                                                                                                                                                                                                                                                             
                                           o                                                                                                                                                                                                                                                                             e                                                                                                                    h                                                                                                                                                                                                                                                                                                                             
                                           n                                                                                                                                                                 D                                                                                                           r                                                     K                                                              r                                                                                                                                                                                                                                                                                                                             
                                           k                                                              B                                                              Ç                                   i                                            E        G                 G                                   s                                   K                 ı                                                              a                                                                                                                                                        Ş                                   Z                                   K                                                                                            
                                  A        a                                                              a                                                              a                                   y                          E                 s        a                 ü                                   i        İ                          a                 r        K                                                     m                                   N                                                                                T                                   a                                   o                                   ı                                                                                O           
                                  d        r                                   A                          l        B                                                     n        Ç                 D        a                          r        E        k        z        G        m        H                 I        n        s                          s        K        k        ı        K                 K        M                 a                                   e                                   S                                            e                 T        T        n                                   n        A        B        K        r                                   A                          K                 s           
                                  ı        a                 A        A        n        A                 ı        i        B        B                 B                 a        a                 e        r        E        E        z        r        i        i        i        ü        a                 s        (        t                          t        a        l        r        o                 ü        a        M        n        M                          v                                   a        S                                   k                 r        u        l                          Y        g        k        a        a        ı        B        Ş        B        r                 Y        a                 m           
                         A        y        h                 m        n        t        r        A        k        l        i        i                 u        B        k        n        Ç        n        b        d        l        i        z        ş        a        r        ş        k        H        p        İ        a        İ                 a        y        a        ş        c        K        t        l        a        m        a        M                 ş        N                          k        a        S        S        S        i        T        a        n        ı                          o        u        s        y        r        k        a        ı        a        d        I        a        r        K        a        D  
                         d        a        i        A        a        k        a        t        y        e        e        n        t        B        r        u        k        k        o        i        a        i        a        n        u        e        n        e        h        k        a        a        ç        n        z        K        m        s        r        e        a        o        a        a        n        a        r        u                 e        i        O        R        a        m        i        i        i        r        o        b        c        u        U                 z        l        a        b        a        k        t        r        r        a        ğ        l        a        i        n        ü  
                         a        m        s        ğ        s        a        l        v        d        s        c        g        l        o        d        r        a        ı        r        z        k        r        z        c        r        h        t        s        a        a        t        r        e        b        m        a        o        e        e        h        e        n        h        t        i        r        d        ğ        M        h        ğ        r        i        r        s        i        n        v        d        k        z        e        r        ş        V        g        d        r        u        m        a        m        n        t        h        d        o        b        l        i        z  
                         n        a        a        r        y        r        y        i        ı        i        i        ö        i        l        u        s        l        r        u        l        ı        n        ı        a        u        i        e        u        n        r        a        t        l        u        i        r        n        r        l        i        l        y        y        y        s        a        i        l        u        i        d        d        z        y        u        r        o        a        a        a        o        l        f        a        a        a        a        a        r        a        l        a        a        ı        a        ı        v        ü        i        y        c  
                         a        n        r        ı        a        a        a        n        n        r        k        l        s        u        r        a        e        ı        m        i        r        e        ğ        n        m        r        p        n        e        i        y        a        )        l        r        s        u        i        i        r        i        a        a        a        a        ş        n        a        ş        r        e        u        e        a        n        t        p        s        ğ        t        n        i        a        k        n        t        k        y        t        n        e        n        k        n        n        r        a        k        s        e        e  
                        01       02       03       04       05       06       07       08       09       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81  
          Adana 01        0   332656   565827   960931   578870   498086   619237  1040420   852915   891037   751172   664846   727157   684444   636452   821826  1101531   588917   550111   733273   523807  1183315   491898   740850   844897   669192   223511   782305   751529   911922   192507   604976    84610   946241   896035  1048757   676850   303069  1157425   352887   857749   345252   665951   392682   873548   196547   552287   859786   731473   257099   180462   754333   947295   807073   718419   709835   816619   497531  1093111   562520   877405   627435   365846   680933   888448   442967   770212   258384   845056   283021   461190   619472   728793   786341  1071820  1064157   907616   714872   290398    98594   731938
       Adıyaman 02   332656        0   889010   643608   587313   689810   942420   723097  1176098  1214220  1074355   347523   409834   876696   959635  1145009  1424714   744270   654475  1056456   206484  1375567   240020   445110   527574   992375   152448   595681   500878   656416   315785   928159   407793  1138493  1219218   731434   832203   373623  1349677   508240  1050001   668435   989134   140804  1196731   161618   296781  1182969   414150   457143   503645   667175   696644   999325   695770   392512   843687   371034  1285363   475362   626754   375557   110193  1004116   571125   545679   962463   581567   561999   606204   616543   302149   473287   978592   754497   746834  1099868   839797   214328   243416   924189
 Afyonkarahisar 03   565827   889010        0  1323562   599586   260667   288056  1238294   337682   320807   204890  1083632  1284583   417426   165681   275544   555249   400908   506696   218040  1081233   681525   946802   951338  1142563   132129   780938   871959   962017  1469348   749933   166007   577096   444451   325805  1344568   500201   509164   655635   430531   355959   226682    95721   847586   303318   753974  1109713   344553  1194940   427169   455155   824497  1079073   304565   675004  1267261   669120   706015   591321   639613  1001431  1081026   923272   110703  1445874   482020   503194   356056  1055544   337485   344678  1176898  1286219   519323  1363762  1429765   343983   447854   847825   656021   373393
           Ağrı 04   960931   643608  1323562        0   740574  1055772  1420922   368689  1605495  1584835  1366883   354494   233956  1153261  1389032  1423315  1702867  1003459   833085  1485853   439234  1652132   492578   369099   183920  1300393   747274   541107   435550   433022   946364  1357556  1038372  1415058  1651129   169559   992033   812954  1626242   941704  1326565  1113552  1380476   587184  1628642   819860   519653  1612366   243629   890607   940704   588211   437596  1275890   814218   329399   957368   619038  1561928   676903   448718   461287   614613  1436027   228404   842043  1207622   964561   306054  1124635   982407   368625   425576  1197684   258402   145224  1376432  1106217   798941   873995  1200754
         Amasya 05   578870   587313   599586   740574        0   331270   817716   749202   928182   846256   628304   582787   723666   414682   752591   684736   964288   264880    92508   808540   693399   913553   532655   368178   559403   575891   584619   321321   365123  1030265   684234   718447   589858   676479   926627   761408   253454   307177   887663   314077   587986   513744   655974   464796   904140   508934   790702   935053   644064   321521   405844   273859   528435   537311   124366   878429   256515   219210   823349   113371   450793   497866   728678   711525   935209   200423   469043   413477   450155   624751   257905   794873   974606   459105   780602   846605   637853   367638   643551   614281   462175
         Ankara 06   498086   689810   260667  1055772   331270        0   483467   973878   586801   548817   316490   891880  1203850   188086   411210   387144   666849   130714   242280   467159  1000500   686957   755050   686922   878147   234510   700205   607543   697601  1388615   669200   387830   496363   449883   585246  1080152   243106   319510   661067   186893   361391   262475   314593   655834   562759   582150  1028980   593672  1003188   295364   334738   560081   814657   310715   410588  1186528   412191   441599   596753   375197   737015   816610   842539   370144  1218339   217604   273853   228839   791128   373482    80262  1096165  1205486   289982  1099346  1165349   411258   218513   767092   575288   235579
        Antalya 07   619237   942420   288056  1420922   817716   483467        0  1428506   346165   510661   480273  1184169  1327557   638847   129790   550927   718496   622329   725492   226722  1124207   956908  1047339  1047482  1238707   420285   823912  1090755  1058161  1512322   792907   127057   488001   719834   451987  1440712   721622   609701   931018   548276   631342   302958   371104   948123   429500   796948  1152687   317718  1295477   527706   501960  1043293  1253927   579948   893800  1310235   890541   804163   697207   858409  1184037  1177170   966246   299698  1488848   664161   724615   456593  1151688   327482   561069  1219872  1329193   740744  1459906  1525909   619366   669275   890799   698995   648776
         Artvin 08  1040420   723097  1238294   368689   749202   973878  1428506        0  1614068  1472683  1254731   377142   482847  1041109  1397605  1311163  1590715   891307   734921  1494426   518966  1539980   515227   377672   195651  1218303   827007   367453   356740   770211   985642  1366129  1077650  1302906  1569039   202944   854086   821527  1514090   950277  1214413  1122125  1298386   609833  1546552   831475   607118  1620939   403245   899180   949277   414557   160296  1163738   564998   578291   721751   627611  1449776   685476   239772   469860   694346  1353937   565593   850616  1095469   973134   314628  1133208   900317   558280   674468  1085531   115399   335568  1264280   994064   878674   913273  1088602
          Aydın 09   852915  1176098   337682  1605495   928182   586801   346165  1614068        0   279511   465423  1370629  1571580   675164   259837   427585   419140   726617   832405   125056  1368230   613302  1233799  1233942  1425167   431710  1067935  1197668  1244621  1756345  1036930   288031   864093   581527   112613  1627172   825910   796161   587412   707197   568793   513679   356255  1134583   136677  1040971  1396710    97325  1481937   714166   742152  1150206  1404782   565098  1000713  1554258   994829   990623   466057   965322  1327140  1363630  1210269   216374  1732871   807729   740222   643053  1338148   624482   670387  1463895  1573216   845032  1646366  1712369   489358   773563  1134822   943018   633926
      Balıkesir 10   891037  1214220   320807  1584835   846256   548817   510661  1472683   279511        0   256807  1423711  1610058   433418   417774   154258   214639   634462   794889   282993  1406708   339975  1286881  1213781  1405006   314248  1106413  1104453  1210726  1794823  1075408   397694   902571   308200   180343  1607011   685374   851341   314085   718724   295466   552157   226652  1187665   142655  1079449  1435188   380369  1535019   780602   819976  1056991  1311567   323351   907498  1592736   859250   994208   192730   927806  1233925  1343469  1248747   225283  1771349   770213   498476   714077  1295758   662960   632871  1502373  1611694   610723  1626205  1692208   216031   572451  1173300   981496   392180
