                                 Şehir        X(Enlem)     Y(Boylam)
                        Balçova  İzmir 001   38.3890827   27.0499859
                          Çiğli  İzmir 002   38.4940251   26.9616941
                       Gaziemir  İzmir 003   38.3251500   27.1225200
                      Karşıyaka  İzmir 004   38.4637480   27.0925900
                          Konak  İzmir 005   38.4144802   27.1441227
                         Aliağa  İzmir 006   38.7995610   26.9707400
                       Bayındır  İzmir 007   38.2174819   27.6479490
                       Bayraklı  İzmir 008   38.4793887   27.1382404
                        Bergama  İzmir 009   39.1214490   27.1799130
                         Beydağ  İzmir 010   38.0847000   28.2106000
                        Bornova  İzmir 011   38.4709820   27.2176900
                           Buca  İzmir 012   38.3854789   27.1747090
                          Çeşme  İzmir 013   38.3243110   26.3032150
                         Dikili  İzmir 014   39.0749000   26.8891990
                           Foça  İzmir 015   38.6703780   26.7579180
                     Güzelbahçe  İzmir 016   38.3624380   26.8825930
                     Karabağlar  İzmir 017   38.3618830   27.0917320
                      Karaburun  İzmir 018   38.6382509   26.5127380
                      Kemalpaşa  İzmir 019   38.4275000   27.4188000
                          Kınık  İzmir 020   39.0859000   27.3818000
                          Kiraz  İzmir 021   38.2302000   28.2064000
                       Menderes  İzmir 022   38.2517440   27.1326680
                        Menemen  İzmir 023   38.6103660   27.0696580
                      Narlıdere  İzmir 024   38.3962659   26.9940815
                         Ödemiş  İzmir 025   38.2190057   27.9717606
                    Seferihisar  İzmir 026   38.1951500   26.8344020
                         Selçuk  İzmir 027   37.9508450   27.3699540
                           Tire  İzmir 028   38.0894780   27.7318380
                        Torbalı  İzmir 029   38.1557310   27.3644940
                           Urla  İzmir 030   38.3249720   26.7668100
                       Ahmetli  Manisa 031   38.5163810   27.9379640
                       Akhisar  Manisa 032   38.9176640   27.8366200
                      Alaşehir  Manisa 033   38.3544580   28.5165410
                       Demirci  Manisa 034   39.0473360   28.6585440
                    Gölmarmara  Manisa 035   38.7139130   27.9184260
                        Gördeş  Manisa 036   38.9330290   28.2886680
                      Kırkağaç  Manisa 037   39.1050610   27.6734210
                     Köprübaşı  Manisa 038   38.7482210   28.4042890
                          Kula  Manisa 039   38.5432340   28.6445850
                       Salihli  Manisa 040   38.4870740   28.1380520
                       Sarıgöl  Manisa 041   38.2383510   28.6964340
                     Saruhanlı  Manisa 042   38.7349820   27.5698180
                       Selendi  Manisa 043   38.7439880   28.8673670
                          Soma  Manisa 044   39.1851130   27.6087920
                    Şehzadeler  Manisa 045   38.6140337   27.4295624
                      Turgutlu  Manisa 046   38.5001610   27.7084100
                     Yunusemre  Manisa 047   38.6262479   27.3878497
                       Bozdoğan  Aydın 048   37.6728730   28.3101570
                      Buharkent  Aydın 049   37.9639030   28.7429600
                           Çine  Aydın 050   37.6140810   28.0611400
                          Didim  Aydın 051   37.3760940   27.2647290
                         Efeler  Aydın 052   37.8380162   27.8455601
                      Germencik  Aydın 053   37.8726480   27.6011340
                     İncirliova  Aydın 054   37.8537850   27.7234240
                       Karacasu  Aydın 055   37.7290680   28.6072310
                       Karpuzlu  Aydın 056   37.5603500   27.8358090
                        Koçarlı  Aydın 057   37.7620671   27.7049745
                           Köşk  Aydın 058   37.8536940   28.0521330
                       Kuşadası  Aydın 059   37.8579130   27.2610150
                        Kuyucak  Aydın 060   37.9138610   28.4597860
                        Nazilli  Aydın 061   37.9097770   28.3242940
                           Söke  Aydın 062   37.7519610   27.4056660
                    Sultanhisar  Aydın 063   37.8897330   28.1544630
                     Yenipazar   Aydın 064   37.8233960   28.1956790
                     Acıpayam  Denizli 065   37.4263850   29.3511430
                      Babadağ  Denizli 066   37.8106610   28.8587820
                       Baklan  Denizli 067   37.9767480   29.6069090
                      Bekilli  Denizli 068   38.2301670   29.4187850
                      Beyağaç  Denizli 069   37.2359950   28.8975090
                      Bozkurt  Denizli 070   37.8210210   29.6063900
                       Buldan  Denizli 071   38.0442060   28.8345980
                          Çal  Denizli 072   38.0830130   29.3972790
                       Çameli  Denizli 073   37.0767680   29.3514820
                       Çardak  Denizli 074   37.8250350   29.6683230
                       Çivril  Denizli 075   38.3021200   29.7402580
                        Güney  Denizli 076   38.1544809   29.0643560
                        Honaz  Denizli 077   37.7569600   29.2642560
                         Kale  Denizli 078   37.4518930   28.8498920
                 Merkezefendi  Denizli 079   37.7835168   29.0772146
                    Pamukkale  Denizli 080   37.9186089   29.1103070
                     Sarayköy  Denizli 081   37.9244520   28.9230780
                   Serinhisar  Denizli 082   37.5879550   29.2660390
                        Tavas  Denizli 083   37.5730680   29.0713290
               Kütahya merkez  Kütahya 084   39.4199547   29.9857320
                     Altıntaş  Kütahya 085   39.0579970   30.1085560
                     Aslanapa  Kütahya 086   39.2149020   29.8703450
                  Çavdarhisar  Kütahya 087   39.1968720   29.6172460
                      Domaniç  Kütahya 088   39.8009990   29.6127310
                   Dumlupınar  Kütahya 089   38.8552000   29.9762000
                         Emet  Kütahya 090   39.3444130   29.2578990
                        Gediz  Kütahya 091   38.9907360   29.3957050
                     Pazarlar  Kütahya 092   38.9951999   29.1239000
                      Şaphane  Kütahya 093   39.0249100   29.2200650
                     Hisarcık  Kütahya 094   39.2465280   29.2358960
                        Simav  Kütahya 095   39.0896000   28.9787000
                     Tavşanlı  Kütahya 096   39.5470000   29.4914000
 Afyonkarahisar merkez  Afyonkarahisar 097   38.7568852   30.5387038
              Başmakçı  Afyonkarahisar 098   37.8987840   30.0092850
                 Bayat  Afyonkarahisar 099   38.9842570   30.9239010
              Bolvadin  Afyonkarahisar 100   38.7126000   31.0484000
                   Çay  Afyonkarahisar 101   38.5922569   31.0260430
              Çobanlar  Afyonkarahisar 102   38.7014680   30.7815460
               Dazkırı  Afyonkarahisar 103   37.9199000   29.8601000
                 Dinar  Afyonkarahisar 104   38.0668999   30.1688000
               Emirdağ  Afyonkarahisar 105   39.0202000   31.1510000
               Evciler  Afyonkarahisar 106   38.0418310   29.8858360
               Hocalar  Afyonkarahisar 107   38.5766730   29.9696680
              İhsaniye  Afyonkarahisar 108   39.0318810   30.4167880
             İscehisar  Afyonkarahisar 109   38.8612860   30.7491960
             Kızılören  Afyonkarahisar 110   38.2588000   30.1524000
              Sandıklı  Afyonkarahisar 111   38.4651790   30.2726280
             Sinanpaşa  Afyonkarahisar 112   38.7421880   30.2448100
            Sultandağı  Afyonkarahisar 113   38.5316370   31.2299120
                 Şuhut  Afyonkarahisar 114   38.5328970   30.5444170
                     Uşak merkez  Uşak 115   38.6742286   29.4058825
                           Banaz  Uşak 116   38.7398200   29.7531740
                            Eşme  Uşak 117   38.3998800   28.9713840
                       Karahallı  Uşak 118   38.3199450   29.5314980
                         Sivaslı  Uşak 119   38.4999030   29.6838640
                          Ulubey  Uşak 120   38.4216600   29.2904510
                         Bodrum  Muğla 121   37.0344070   27.4305400
                        Dalaman  Muğla 122   36.7666200   28.7999910
                          Datça  Muğla 123   36.7262170   27.6858440
                        Fethiye  Muğla 124   36.6592460   29.1263470
                    Kavaklıdere  Muğla 125   37.4453820   28.3661230
                       Köyceğiz  Muğla 126   36.9660340   28.6885930
                       Marmaris  Muğla 127   36.8549360   28.2708780
                          Milas  Muğla 128   37.3116380   27.7807950
                   Muğla merkez  Muğla 129   37.2153740   28.3633940
                         Ortaca  Muğla 130   36.8387230   28.7654690
                     Seydikemer  Muğla 131   36.6480362   29.3591524
                            Ula  Muğla 132   37.1021530   28.4177560
                        Yatağan  Muğla 133   37.3402530   28.1400320
