                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    S                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                İ        K                 S        u                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             B                 B                 Ç                                                     İ        s        ı        S        i        l                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             a                 o                 o        D                 E        E        H        h        c        z        a        n        t                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ş                 l                 b        a                 m        v        o        s        e        ı        n        a        a                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    M                                                                                                                                                        m        B        v                 a        z        D        i        c        c        a        h        l        d        n        n        Ş                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    e                                                              Ç                                                                                         a        a        a                 n        k        i        r        i        a        n        i        ö        ı        p        d        u                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    r                          S                                   a                 D                                                                       k        y        d        Ç        l        ı        n        d        l        l        i        s        r        k        a        a        h                                                                                                                                                                  
                                                                                                                                                                                                                                                                       S                                                                                G                                                                                         Ş                                                                                                                                                                 S                                                                                                                                               k        P                 e                                   v                 u                                                                       ç        a        i        a        a        r        a        a        e        a        y        a        e        l        ş        ğ        u                                                                                         K                                                                        
                                                                                                                                                                             G        K                                                                                e                                                                                ö                          K                                   S                          e                 Y                                                              İ                                                                                u        Y        A                                                                                                                             e        a        S        r                 A        A        d                 m                          P                 H                 T        ı        t        n        y        r        ı        r        ğ        r        r        e        r        n        ı        a        ı        t                                                                                         a                                                     S                  
                                                                 K                                                                                                           ü        a        K        K                                            N                 f                                                              A                 l                 K        ö                                   a                          h        T        u                 B                                   G        n                                                                                l        e        c        B                 B        B        B                                                                                z        m        a        i                 l        s        a        D        l                          a        Ş        i                 a                                                                                                                                                                                                                                                  v                                                     e                  
                                                        G        a                          B        B                                                                       z        r        a        e                          M                 a                 e                                            A        A        l        D        m                 ı        p                 S        S        r        S                 z        u        n        B        u                                   e        c        K        K                          K                                   t        n        ı        a        B        e        e        o        B                 Ç        Ç        Ç                                   e        u        r        n                 t        l        r        o        u                          z        a        s                 v        A        A        A        A        A        A        A        A        A        A        A        A        A        A        A        A        A                          K                                                              a        K        M                                   y                  
                                      B                 a        r                          a        a        B                 B                                            e        a        r        m                          e        M        r                 r                          T                 h        k        a        e        a        G        r        r                 a        a        u        e                 a        r        u        o        h                                   r        i        a        a        K                 u        K        N                 a        i        p        b        a        k        y        z        u                 a        a        i        G        H                 f        k        a        h        T        ı        a        h        m        p                 G        a        p        a        S        ş        f        f        f        f        f        f        f        f        f        f        f        f        f        f        f        f        f                          a                                   D                 F        k        ö        a                 M                 d                 Y
                                      a                 z        ş                 A        y        y        e        B        o                          D                 l        b        a        a                          n        e        l        Ö        i        S                 o                 m        h        ş        m        r        ö        k        ü                 l        r        h        l                 d        g        s        z        a                          E        m        r        r        r        o                 ş        u        a                 n        p        a        a        k        i        a        k        l                 m        r        v        ü        o        K        e        k        y        i        a        n        n        i        a        ı        E        e        r        h        r        i        a        y        y        y        y        y        y        y        y        y        y        y        y        y        y        y        y        y                          r        S                 B        a                 e        l        y        r                 e        O        i                 a
                                      l        Ç        i        ı        K        l        ı        r        r        e        r                 Ç        i                 b        a        b        l        K        K        d        n        ı        d        h        e                 r                 e        i        e        i        m        r        a        b        K        i        ı        a        e        S        e        u        e        d        r                 D        f        e        l        a        p        ç                 a        y        z                 h        a        y        d        l        l        ğ        u        d        Ç        e        d        r        n        n        a        n        a        k        s        v        t        a        s        n        n        m        d        l        a        c        m        n        o        o        o        o        o        o        o        o        o        o        o        o        o        o        o        o        o                          a        i        U        o        l        D        t        ı        c        m        M        n        r        k                 t
                                      ç        i        e        y        o        i        n        a        g        y        n        B        e        k        F        a        ğ        u        p        ı        i        e        e        d        e        i        l        T        b        U        t        s        h        r        a        d        ğ        a        u        h        g        n        n        o        l        t        m        o        k        Ç        i        e        n        i        c        u        a        K        d        u        i        S        i        z        a        a        a        l        a        r        a        a        l        a        i        e        a        l        d        l        ö        a        a        a        p        a        i        a        e        i        a        n        ı        a        l        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        B                 h        v        l        d        a        a        h        d        e        a        i        t        t        e                 a
                                      o        ğ        m        a        n        a        d        k        a        d        o        u        ş        i        o        h        l        r        a        n        r        r        m        e        m        s        ç        i        a        r        l        a        i        c        r        e        a        ş        l        l        ö        l        d        m        e        l        r        ğ        e        i        d        l        c        o        a        z        r        ö        a        c        l        ö        s        a        m        ğ        n        i        ç        t        n        l        i        k        l        y        z        e        i        e        y        r        s        ş        a        r        ç        r        t        z        r        e        k        v        ı        k        k        k        k        k        k        k        k        k        k        k        k        k        k        k        k        k        a        E        a        a        u        r        m        t        i        e        ğ        r        l        e        a        m        U        ğ
                                      v        l        i        k        a        ğ        ı        l        m        a        v        c        m        l        ç        ç        a        u        ş        ı        a        e        e        r        i        a        u        r        l        l        i        r        r        i        a        ş        ç        ı        a        i        l        ı        i        a        r        u        e        a        n        n        i        e        i        v        s        l        l        ş        s        a        l        k        a        r                                                                                                                                                                                                                                                                                               a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        n        ş        l        s        b        u        a        ç        y        r        i        i        a        ş        c        e        l        a
                                      a        i        r        a        k        a        r        ı        a        ğ        a        a        e        i        a        e        r        n        a        k        z        s        n        e        ş        r        k        e        ı        a                                                                                                                                                                 n        t        e        m        r        k        a        u        u        ı        k        ı        k        i        e        r                 D        D        D        D        D        D        D        D        D        D        D        D        D        D        D        D        D        D        D        K        K        K        K        K        K        K        K        K        K        K        K        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        a        m        l        l        e        m        n        a        e        e        z        s        s        e        a        r        a        n
                                                                                                                                                                                                                                                                                                                    M        M        M        M        M        M        M        M        M        M        M        M        M        M        M        M        M                                                                                                                                                                 e        e        e        e        e        e        e        e        e        e        e        e        e        e        e        e        e        e        e        ü        ü        ü        ü        ü        ü        ü        ü        ü        ü        ü        ü        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        z        e        ı        ı        y                                                                                                                     
                                      İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        İ        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        A        A        A        A        A        A        A        A        A        A        A        A        A        A        A        A        A        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        t        t        t        t        t        t        t        t        t        t        t        t        h        h        h        h        h        h        h        h        h        h        h        h        h        h        h        h        h                                                     M        M        M        M        M        M        M        M        M        M        M        M        M
                                      z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        y        y        y        y        y        y        y        y        y        y        y        y        y        y        y        y        y        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        a        a        a        a        a        a        a        a        a        a        a        a        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        U        U        U        U        U        u        u        u        u        u        u        u        u        u        u        u        u        u
                                      m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        m        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        d        d        d        d        d        d        d        d        d        d        d        d        d        d        d        d        d        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        z        h        h        h        h        h        h        h        h        h        h        h        h        s        s        s        s        s        s        s        s        s        s        s        s        s        s        s        s        s        ş        ş        ş        ş        ş        ğ        ğ        ğ        ğ        ğ        ğ        ğ        ğ        ğ        ğ        ğ        ğ        ğ
                                      i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        s        s        s        s        s        s        s        s        s        s        s        s        s        s        s        s        s        ı        ı        ı        ı        ı        ı        ı        ı        ı        ı        ı        ı        ı        ı        ı        ı        ı        l        l        l        l        l        l        l        l        l        l        l        l        l        l        l        l        l        l        l        y        y        y        y        y        y        y        y        y        y        y        y        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        l        l        l        l        l        l        l        l        l        l        l        l        l
                                      r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        a        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        n        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        i        a        a        a        a        a        a        a        a        a        a        a        a        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        r        k        k        k        k        k        a        a        a        a        a        a        a        a        a        a        a        a        a
                                    001      002      003      004      005      006      007      008      009      010      011      012      013      014      015      016      017      018      019      020      021      022      023      024      025      026      027      028      029      030      031      032      033      034      035      036      037      038      039      040      041      042      043      044      045      046      047      048      049      050      051      052      053      054      055      056      057      058      059      060      061      062      063      064      065      066      067      068      069      070      071      072      073      074      075      076      077      078      079      080      081      082      083      084      085      086      087      088      089      090      091      092      093      094      095      096      097      098      099      100      101      102      103      104      105      106      107      108      109      110      111      112      113      114      115      116      117      118      119      120      121      122      123      124      125      126      127      128      129      130
             Balçova İzmir 001        0    57490    13960    24687    12090    92335    79268    22915   137394   138686    35555    22265    79158   151406    94172    20484     6433    95797    50441   156302   141424    20999    67094     6493   113529    38809    80475    98355    53985    30542    96868   100697   154666   218790   105037   159043   128414   165221   162958   115576   175501    70870   199973   140287    49469    75695    47329   181439   197158   150715   161076   113215    94667   104923   197945   168719   115727   132340   100601   170472   157724   111436   142675   152343   288690   233447   293297   273058   280451   284047   208597   261673   339052   289798   296313   224788   253786   252469   237911   239499   215998   269014   244719   328302   324530   301232   389896   297652   322535   267140   248109   271666   309625   256796   360667   323898   395162   404835   401245   377954   310602   344337   419838   330763   301929   360393   371403   369307   340380   326359   422481   381663   270777   202305   269521   272893   233171   237406   299528   282771   335104   208047   271321   265337   191336   215891   288756   356832   226127   187966
               Çiğli İzmir 002    57490        0    51762    15671    29262    49652    97676    20740    94711   157094    27235    44040   135677   108723    43992    77002    53087   152315    50388   113619   159832    58801    24411    64209   131937    95327    98882   116762    72393    87060    96815   105941   154613   218737   110281   164287   133658   165168   162905   115523   175448    76114   199920   136051    61867    75642    54140   199846   215565   169123   179483   131622   113074   123330   216352   187127   134134   150747   119008   188879   176131   129843   161082   170750   307097   251854   311704   273005   298859   302454   208544   261620   357459   308205   296260   224735   272193   270876   256318   239725   234405   287421   263126   328249   324477   301179   395140   297599   322482   267087   248056   271613   309572   256743   370458   342305   395109   404782   401192   377901   329009   362744   419785   349170   301876   360340   371350   341028   340327   326306   422428   381610   270724   202252   269468   272840   233118   255813   317936   301178   353512   226455   289729   283745   209743   234299   307164   375240   244535   206374
            Gaziemir İzmir 003    13960    51762        0    26473    12263    85394    64999    24701   130453   124417    28614    15324    91902   144465    87231    33228     7133   108541    43500   149361   127155    11327    60153    20434    99260    51553    66205    84085    39716    43286    89927   108616   147725   211849   112956   166962   136333   158280   156017   108635   168560    78789   193032   148206    57387    68754    55247   167169   182888   136446   146806    98945    80397    90653   183675   154450   101457   118070    71248   156202   143454    97166   128405   138073   274420   219177   279027   266117   266182   269777   201656   254732   324782   275528   289372   217847   239516   238199   223641   225229   201728   254744   230449   321361   317589   294291   397815   290711   315594   260199   241168   264725   302684   249855   353726   309628   388221   397894   394304   371013   296332   330067   412897   316493   294988   353452   364462   355037   333439   319418   415540   374722   263836   195364   262580   265952   226230   223136   285259   268501   320835   193778   257052   251068   177066   201622   274487   342563   211858   173697
           Karşıyaka İzmir 004    24687    15671    26473        0    14812    49449    84827     5829    94508   144245    14386    20035   100653   108520    51286    41978    23228   117291    34342   113416   146983    33344    24208    29185   119088    60303    86034   103914    59544    52036    80769    96181   138567   202691   100521   154527   123898   149122   146859    99477   159402    66354   183874   135771    44953    59596    42813   186997   202716   156274   166635   118773   100226   110482   203503   174278   121286   137898   106160   176030   163282   116995   148233   157901   294248   226400   286250   256959   286010   277000   192498   245574   344610   282751   280214   208689   246739   258027   230864   223679   208951   274572   250277   312203   308431   285133   385380   281553   306436   251041   232010   255567   293526   240697   360698   316851   379063   388736   385146   361855   303555   337290   403739   323716   285830   344294   355304   324982   324281   310260   406382   365564   254678   186206   253422   256794   217072   242965   305087   288330   340663   213606   276880   270896   196895   221450   294315   362391   231686   193525
               Konak İzmir 005    12090    29262    12263    14812        0    63492    79880    14061   108551   139298    11462     6352    89728   122563    65329    31053     9546   106366    30004   127459   142036    19662    38251    18260   114141    49378    81087    98967    54597    41111    76431    91843   134229   198353    96183   150189   119560   144784   142521    95139   155064    62016   179536   131433    40615    55258    38475   182051   197770   151327   161688   113827    95279   105535   198557   169331   116339   132952    79583   171084   158336   112048   143287   152955   289302   222062   281912   252621   281063   272662   188160   241236   339664   278413   275876   204351   242401   253081   226526   219341   204613   269626   245331   307865   304093   280795   381042   277215   302098   246703   227672   251229   289188   236359   356360   312513   374725   384398   380808   357517   299217   332952   399401   319378   281492   339956   350966   320644   319943   305922   402044   361226   250340   181868   249084   252456   212734   238018   300140   283383   335716   208659   271933   265949   191948   216503   289368   357444   226739   188578
              Aliağa İzmir 006    92335    49652    85394    49449    63492        0   130990    54054    45736   190408    60548    77354   168991    59748    40246   110316    86401   185629    83702    64644   193146    92115    26390    97523   165251   128641   132196   150076   105707   120374   114617   110520   172415   222452   114860   168866   100381   182970   180707   133325   193250    80693   217722    87076    66446    93140    58719   233160   248879   202437   212797   164936   146388   156644   249666   220441   167448   184061   152322   222193   209445   163157   194396   204064   320454   260248   320098   290807   332173   310848   226346   279422   370816   316599   314062   242537   280587   304190   264712   257527   242799   300779   296440   346051   342279   318981   361588   315401   340284   284889   265858   289415   327374   253471   336906   350699   412911   422584   418994   395703   337403   371138   437587   357564   319678   378142   389152   358830   358129   344108   440230   399412   288526   220054   287270   290642   250920   289127   351250   334492   386826   259769   323043   317059   243057   267613   340478   408554   277849   239688
            Bayındır İzmir 007    79268    97676    64999    84827    79880   130990        0    80904   175831    62240    73993    66005   157642   189843   132609    98967    75052   174280    60817   194739    63206    60290   105531    86174    35311   117292    53965    18569    30248   109025    67203   153995   129526   189903    94212   151440   181712   136334   134072    86689   123577   124168   171086   193585   102766    46580   100626   130888   136703   140979   151340   103479    84931    95187   137490   158983   105991   122604    74091   110018   102401   101700   132939   142607   228235   172992   232842   221134   270715   223592   156673   209749   278597   229343   254077   172864   193331   192014   177456   187855   155543   208559   184264   299415   295643   272345   369213   268765   293648   238253   219222   242779   280738   227909   331780   263443   366275   375948   372358   349067   250147   283882   390951   270308   273042   331506   342516   308852   330672   297472   393594   352776   241890   163814   236708   244006   195756   227670   289792   273035   325368   198311   261585   255601   181600   206155   279020   347096   216391   178230
            Bayraklı İzmir 008    22915    20740    24701     5829    14061    54054    80904        0    99118   140080    10221    18495    99113   113130    55896    40438    36074   115751    32803   118026   142818    41788    28818    27645   114923    58763    81869    99749    55379    50496    79230    94642   137028   201152    98982   152988   122359   147583   145320    97938   157863    64815   182335   134232    43414    58057    41274   182833   198552   152109   162470   114609    96061   106317   199339   170113   117121   133734   101995   171866   159118   112830   144069   153737   290084   224861   284711   255420   281845   275461   190959   244035   340446   281212   278675   207150   245200   253863   229325   222140   207412   270408   246113   310664   306892   283594   383841   280014   304897   249502   230471   254028   291987   239158   359159   315312   377524   387197   383607   360316   302016   335751   402200   322177   284291   342755   353765   323443   322742   308721   404843   364025   253139   184667   251883   255255   215533   238800   300922   284165   336498   209441   272715   266731   192730   217285   290150   358226   227521   189360
             Bergama İzmir 009   137394    94711   130453    94508   108551    45736   175831    99118        0   235167   105307   122113   213750    28402    85005   155075   131160   230388   128461    19953   206093   136874    71149   142282   210010   173400   176955   194835   150466   165133   135642    82516   181636   186988   108489   133402    55689   166628   190305   146678   202471    70962   227320    42385    75079   101470   103478   277919   264595   247196   257556   209695   191147   201403   294425   265200   212207   228820   197081   266952   254204   207916   239155   248823   329675   269469   329319   300028   376932   320069   235567   288643   380037   325820   323659   251758   289808   340851   273933   266748   252020   310000   316289   355648   351877   328579   316897   324998   272153   294487   248388   249743   261378   221960   292215   359920   422508   432181   428591   405300   346624   380359   447184   366785   329275   387739   398749   368427   367726   353705   449827   409009   298123   229652   296868   300239   260518   333886   396009   379251   431585   304528   367802   361818   287816   312372   385237   453313   322608   284447
              Beydağ İzmir 010   138686   157094   124417   144245   139298   190408    62240   140080   235167        0   133046   125058   216695   248896   191662   158020   134105   233333   119870   203408    23704   119343   164584   145227    29237   176345    88143    46576    84777   168078    88276   138362    90024   179483   112380   141020   166687   125914   120185    76269    84075   139140   157200   178560   139736   109530   159679    69068    74883    82328   174962    63662   108553    74703    75670   100332    84979    45260   108269    48198    40581   125322    34185    44055   166415   111172   171022   181632   174140   161772   108212   170247   216777   167523   206382   133362   131511   130194   115636   117224    93723   146739   122444   276221   281757   258459   355327   245571   279762   224367   205336   228893   266852   214023   317894   201623   343081   341037   326662   344608   188327   222062   377770   208488   249848   308312   319322   247032   268852   274278   347898   308327   218696   124312   197206   228776   156254   206888   236508   269289   272084   105486   208301   202317   162496   113330   225736   303016   163107   124946
             Bornova İzmir 011    35555    27235    28614    14386    11462    60548    73993    10221   105307   133046        0    20933   112570   119626    62392    53895    29980   129208    21744   124522   136724    35694    35314    41102   108829    72220    75775    93655    49285    63953    68172    83645   125970   190094    87985   141991   111362   136525   134262    86880   146805    53818   171277   123235    32416    46998    30276   176739   192458   146015   156376   108515    89967   100223   193245   164019   111027   127640    95901   165772   153024   106736   137975   147643   283990   213803   273653   244362   275751   264403   179901   232977   334352   270154   267617   196092   234142   247769   218267   211082   196354   264314   240019   299606   295834   272536   372844   268956   293839   238444   219413   242970   280929   228100   348162   304254   366466   376139   372549   349258   290958   324693   391142   311119   273233   331697   342707   312385   311684   297663   393785   352967   242081   173609   240825   244197   204475   232706   294828   278071   330404   203347   266621   260637   186636   211191   284056   352132   221427   183266
                Buca İzmir 012    22265    44040    15324    20035     6352    77354    66005    18495   122113   125058    20933        0    99223   138335    81101    40548    16634   115862    37370   143231   128353    22347    54023    27755   100458    58873    67404    85284    40914    50606    83797    96743   141595   205719   101083   155089   124460   152150   149887   102505   162430    66916   186902   136333    45515    62624    43375   168368   184087   137644   148005   100144    81596    91852   184874   155648   102656   119269    87530   157401   144653    98365   129604   139272   275619   220376   280226   259987   267380   270976   195526   248602   325981   276727   283242   211717   240715   239398   224840   226428   202927   255943   231648   315231   311459   288161   385942   284581   309464   254069   235038   258595   296554   243725   361260   310827   382091   391764   388174   364883   297531   331266   406767   317692   288858   347322   358332   356236   327309   313288   409410   368592   257706   189234   256450   259822   220100   224335   286457   269700   322033   194976   258250   252266   178265   202820   275685   343761   213056   174895
