                                           A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
                                           f                                                                                                                                                                                                                                                                                                                                                                                                  K                                                                                                                                                                                                                                                                                                                           
                                           y                                                                                                                                                                                                                                                                             M                                                                                                                    a                                                                                                                                                                                                                                                                                                                           
                                           o                                                                                                                                                                                                                                                                             e                                                                                                                    h                                                                                                                                                                                                                                                                                                                           
                                           n                                                                                                                                                                 D                                                                                                           r                                                     K                                                              r                                                                                                                                                                                                                                                                                                                           
                                           k                                                              B                                                              Ç                                   i                                            E        G                 G                                   s                                   K                 ı                                                              a                                                                                                                                                        Ş                                   Z                                   K                                                                                          
                                  A        a                                                              a                                                              a                                   y                          E                 s        a                 ü                                   i        İ                          a                 r        K                                                     m                                   N                                                                                T                                   a                                   o                                   ı                                                                                O         
                                  d        r                                   A                          l        B                                                     n        Ç                 D        a                          r        E        k        z        G        m        H                 I        n        s                          s        K        k        ı        K                 K        M                 a                                   e                                   S                                            e                 T        T        n                                   n        A        B        K        r                                   A                          K                 s         
                                  ı        a                 A        A        n        A                 ı        i        B        B                 B                 a        a                 e        r        E        E        z        r        i        i        i        ü        a                 s        (        t                          t        a        l        r        o                 ü        a        M        n        M                          v                                   a        S                                   k                 r        u        l                          Y        g        k        a        a        ı        B        Ş        B        r                 Y        a                 m         
                         A        y        h                 m        n        t        r        A        k        l        i        i                 u        B        k        n        Ç        n        b        d        l        i        z        ş        a        r        ş        k        H        p        İ        a        İ                 a        y        a        ş        c        K        t        l        a        m        a        M                 ş        N                          k        a        S        S        S        i        T        a        n        ı                          o        u        s        y        r        k        a        ı        a        d        I        a        r        K        a        D
                         d        a        i        A        a        k        a        t        y        e        e        n        t        B        r        u        k        k        o        i        a        i        a        n        u        e        n        e        h        k        a        a        ç        n        z        K        m        s        r        e        a        o        a        a        n        a        r        u                 e        i        O        R        a        m        i        i        i        r        o        b        c        u        U                 z        l        a        b        a        k        t        r        r        a        ğ        l        a        i        n        ü
                         a        m        s        ğ        s        a        l        v        d        s        c        g        l        o        d        r        a        ı        r        z        k        r        z        c        r        h        t        s        a        a        t        r        e        b        m        a        o        e        e        h        e        n        h        t        i        r        d        ğ        M        h        ğ        r        i        r        s        i        n        v        d        k        z        e        r        ş        V        g        d        r        u        m        a        m        n        t        h        d        o        b        l        i        z
                         n        a        a        r        y        r        y        i        ı        i        i        ö        i        l        u        s        l        r        u        l        ı        n        ı        a        u        i        e        u        n        r        a        t        l        u        i        r        n        r        l        i        l        y        y        y        s        a        i        l        u        i        d        d        z        y        u        r        o        a        a        a        o        l        f        a        a        a        a        a        r        a        l        a        a        ı        a        ı        v        ü        i        y        c
                         a        n        r        ı        a        a        a        n        n        r        k        l        s        u        r        a        e        ı        m        i        r        e        ğ        n        m        r        p        n        e        i        y        a        )        l        r        s        u        i        i        r        i        a        a        a        a        ş        n        a        ş        r        e        u        e        a        n        t        p        s        ğ        t        n        i        a        k        n        t        k        y        t        n        e        n        k        n        n        r        a        k        s        e        e
                        01       02       03       04       05       06       07       08       09       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81
         Adana 01        0    13576    23523    39227    26465    20421    27160    45779    35945    37490    30855    25952    28678    26731    27577    34329    45310    24862    22473    30439    19606    44394    20929    29690    35152    27665     8869    35683    31581    42303     8760    25811     3732    36974    37502    44154    28798    12652    43677    14623    32977    14216    27169    16306    36870     8135    20975    37264    31083    10595     7525    35093    42399    30840    29128    27555    35052    19823    42189    22854    39438    26290    13232    28017    36215    17793    31021    10617    35159    11648    18743    23944    28362    31766    46322    43379    35342    27754    11410     4286    28273
      Adıyaman 02    13576        0    35385    30475    26288    31225    39022    37027    47807    49352    42717    17200    19926    37402    39439    46191    57172    33592    28880    42301    10854    55065    12313    24297    26400    39527     7916    32436    27773    34372    14717    37673    15594    47645    49364    35402    37528    18361    54348    23353    43648    26078    39031     7690    48732     7521    13044    49126    22331    21954    19387    33984    38591    41511    32023    18803    38612    17220    52860    21745    35630    17674     5692    39879    27463    24940    41692    22479    30300    23510    27473    15192    20431    42437    37570    34627    46013    38456    10328    10185    38944
Afyonkarahisar 03    23523    35385        0    53727    24124    11079    12629    54469    14894    14504     8468    45646    50551    16163     6979    11942    22923    17521    20210     9388    41479    26173    40474    38400    46308     6567    30741    36882    40291    64176    30633     7423    23341    18753    14516    54731    21812    21854    25456    17485    14756    10293     4183    35851    13884    30007    42848    16213    50552    17867    19134    34011    46449    12526    26865    49428    28700    28481    23968    26519    42844    44953    35105     5031    58088    19104    20453    15002    43869    15013    14193    45817    50235    21198    56506    58877    14373    17186    33282    26159    14850
          Ağrı 04    39227    30475    53727        0    30259    43619    59237    17481    66259    63715    54297    16796    11134    46724    57891    57923    68875    41486    34654    60753    20288    64386    22599    15377     8036    52545    31970    25454    19000    20221    40606    56125    41484    56966    67565     9532    41767    33588    63669    37969    52970    45389    55745    26012    66933    34691    24480    67578    11958    36570    38282    28018    21369    50832    33678    15697    40532    25675    62181    28104    22090    20312    27671    58080    10329    34510    50018    39572    13314    45088    40229    17470    22150    50904    13591     6159    55335    44741    34081    36075    48265
        Amasya 05    26465    26288    24124    30259        0    14101    34571    32844    38503    33771    24353    27731    35033    16780    30435    27979    38931    11542     4394    32997    30682    34442    24244    15281    23189    23027    25555    15599    16202    49009    30518    30048    25885    27022    38047    31612    11823    15978    33725    13849    23026    20688    26227    20403    37415    21801    35265    39822    31472    16529    19518    12728    25166    20888     5582    38713    12337     9790    32237     5193    21561    21834    30072    28562    39873     8695    20074    18962    19805    25438    10711    35378    45166    20960    33387    35758    25391    14797    28063    26142    18321
        Ankara 06    20421    31225    11079    43619    14101        0    22210    44442    25251    22261    12966    37520    46229     7391    17183    16440    27421     7464    10183    19745    37157    25054    32348    28373    36281     9776    26419    26855    30264    59854    26311    17223    19019    17634    24795    44704    11747    14005    24337     8249    13637    10588    12976    27725    24163    24556    38526    26570    42426    11983    13949    23984    36422    11500    16838    45106    18670    18454    22849    16492    32817    34926    30783    15310    52234     9077    11681     9373    33842    15338     4166    41495    45913    12426    46479    48850    16002     8414    28960    21837     8933
       Antalya 07    27160    39022    12629    59237    34571    22210        0    61947    15951    22812    19900    51138    54328    27233     6286    23374    32417    28591    31015    10191    45256    37605    45966    44384    52292    18628    34518    47687    46275    67953    34410     6446    26698    30185    20282    60715    32882    27346    36888    24901    26188    14593    15615    41343    19650    33784    46625    14189    56044    23359    23212    44816    57093    23958    37670    53205    39770    34517    35458    37324    54132    50937    38882    14036    61865    29742    31523    20494    49853    15812    24202    49594    54012    32268    62490    64861    25805    28256    37059    29936    26282
        Artvin 08    45779    37027    54469    17481    32844    44442    61947        0    68651    63587    54169    19984    24909    46596    60283    57795    68747    41359    34658    63145    26619    64258    25787    17769    10656    53292    38301    17590    18785    37012    46598    58517    47475    56838    68312    12315    41029    35980    63541    40361    52842    47781    56492    29200    67680    39402    31119    69970    21348    38962    40674    20154     8205    50704    27844    29471    35292    28067    62053    30496    11864    22704    34002    58827    27120    36902    49890    41964    15705    47480    40976    29292    35924    50776     8267    18022    55207    44613    40412    42066    48137
         Aydın 09    35945    47807    14894    66259    38503    25251    15951    68651        0    11939    20669    58066    62971    28385    12594    18158    19246    31669    34358     6167    53899    30366    52894    51312    59220    19732    43161    51030    53203    76596    43053    13165    35761    26817     4552    67643    35960    34274    29649    31732    25203    22713    16384    48271     5983    42427    55268     4531    62972    30287    31554    48159    60597    24727    41013    61848    42848    41445    24585    40667    56992    57865    47525    10450    70508    33252    33285    27422    56781    27433    28341    58237    62655    35346    69418    71789    20304    31334    45702    38579    27051
     Balıkesir 10    37490    49352    14504    63715    33771    22261    22812    63587    11939        0    11189    58040    64773    17911    19203     7220    10609    26671    31494    12776    55701    19428    52868    48692    56600    13373    44963    46131    49613    78398    44855    20285    37563    15879     8238    65023    28040    34525    18711    28769    14265    24515    10832    48245     6687    44229    57070    16147    62946    31567    33533    43260    55698    14254    36114    63650    35347    39765    13647    37803    52093    55245    49327    11886    72310    30388    22811    28957    53216    29235    25477    60039    64457    25650    66798    69169     9366    22733    47504    40381    16577
