           Şehir        X(Enlem)     Y(Boylam)
          Adana  01   36.9914194   35.3308285
       Adıyaman  02   37.7636500   38.2772592
 Afyonkarahisar  03   38.7568852   30.5387038
           Ağrı  04   39.7190740   43.0505910
         Amasya  05   40.6564550   35.8373470
         Ankara  06   39.9333635   32.8597419
        Antalya  07   36.8968908   30.7133233
         Artvin  08   41.1809370   41.8208190
          Aydın  09   37.8380162   27.8455601
      Balıkesir  10   39.6532976   27.8903423
        Bilecik  11   40.1425730   29.9793300
         Bingöl  12   38.8854640   40.4966250
         Bitlis  13   38.4005690   42.1095020
           Bolu  14   40.7325410   31.6082090
         Burdur  15   37.7183360   30.2823330
          Bursa  16   40.1885281   29.0609636
      Çanakkale  17   40.1467200   26.4085870
        Çankırı  18   40.5971150   33.6153830
          Çorum  19   40.5499256   34.9537242
        Denizli  20   37.7830159   29.0963328
     Diyarbakır  21   37.9249733   40.2109826
         Edirne  22   41.6771297   26.5557145
         Elazığ  23   38.6748160   39.2225150
       Erzincan  24   39.7467970   39.4911240
        Erzurum  25   39.9054993   41.2658236
      Eskişehir  26   39.7667061   30.5256311
      Gaziantep  27   37.0659530   37.3781100
        Giresun  28   40.9175320   38.3926530
      Gümüşhane  29   40.4593360   39.4806160
        Hakkari  30   37.5774270   43.7367820
          Hatay  31   36.2022842   36.1613221
        Isparta  32   37.7626487   30.5537050
   Mersin(İçel)  33   36.8121041   34.6414811
       İstanbul  34   41.0082376   28.9783589
          İzmir  35   38.4237340   27.1428260
           Kars  36   40.6013378   43.0974525
      Kastamonu  37   41.3766250   33.7764970
        Kayseri  38   38.7204890   35.4825970
     Kırklareli  39   41.7354720   27.2243690
       Kırşehir  40   39.1460780   34.1594989
        Kocaeli  41   40.7496920   29.9685090
          Konya  42   37.8746429   32.4931554
        Kütahya  43   39.4199547   29.9857320
        Malatya  44   38.3553627   38.3335247
         Manisa  45   38.6140337   27.4295624
  Kahramanmaraş  46   37.5752755   36.9228223
         Mardin  47   37.3129030   40.7339510
          Muğla  48   37.2153740   28.3633940
            Muş  49   38.7345610   41.4910380
       Nevşehir  50   38.6246940   34.7141510
          Niğde  51   37.9697740   34.6766080
           Ordu  52   40.9861660   37.8797210
           Rize  53   41.0255110   40.5176660
        Sakarya  54   40.7730743   30.3948169
         Samsun  55   41.2797031   36.3360667
          Siirt  56   37.9274040   41.9419780
          Sinop  57   42.0279740   35.1517250
          Sivas  58   39.7505450   37.0150217
       Tekirdağ  59   40.9780919   27.5116740
          Tokat  60   40.3234643   36.5521928
        Trabzon  61   41.0026969   39.7167633
        Tunceli  62   39.1061700   39.5482590
      Şanlıurfa  63   37.1674039   38.7955149
           Uşak  64   38.6742286   29.4058825
            Van  65   38.5012085   43.3729793
         Yozgat  66   39.8210490   34.8085730
      Zonguldak  67   41.4535210   31.7893800
        Aksaray  68   38.3686260   34.0297000
        Bayburt  69   40.2603200   40.2280480
        Karaman  70   37.1810090   33.2222430
      Kırıkkale  71   39.8397835   33.5088782
         Batman  72   37.8895167   41.1292832
         Şırnak  73   37.5189740   42.4537140
         Bartın  74   41.6376020   32.3338110
        Ardahan  75   41.1129500   42.7022800
          Iğdır  76   39.9200596   44.0436151
         Yalova  77   40.6548950   29.2841860
        Karabük  78   41.1956200   32.6226540
          Kilis  79   36.7164770   37.1146610
       Osmaniye  80   37.0746279   36.2464002
          Düzce  81   40.8387200   31.1626090
