   Y(Boylam)    X(Enlem)
   35.3308285   36.9914194
   38.2772592   37.7636500
   30.5387038   38.7568852
   43.0505910   39.7190740
   35.8373470   40.6564550
   32.8597419   39.9333635
   30.7133233   36.8968908
   41.8208190   41.1809370
   27.8455601   37.8380162
   27.8903423   39.6532976
   29.9793300   40.1425730
   40.4966250   38.8854640
   42.1095020   38.4005690
   31.6082090   40.7325410
   30.2823330   37.7183360
   29.0609636   40.1885281
   26.4085870   40.1467200
   33.6153830   40.5971150
   34.9537242   40.5499256
   29.0963328   37.7830159
   40.2109826   37.9249733
   26.5557145   41.6771297
   39.2225150   38.6748160
   39.4911240   39.7467970
   41.2658236   39.9054993
   30.5256311   39.7667061
   37.3781100   37.0659530
   38.3926530   40.9175320
   39.4806160   40.4593360
   43.7367820   37.5774270
   36.1613221   36.2022842
   30.5537050   37.7626487
   34.6414811   36.8121041
   28.9783589   41.0082376
   27.1428260   38.4237340
   43.0974525   40.6013378
   33.7764970   41.3766250
   35.4825970   38.7204890
   27.2243690   41.7354720
   34.1594989   39.1460780
   29.9685090   40.7496920
   32.4931554   37.8746429
   29.9857320   39.4199547
   38.3335247   38.3553627
   27.4295624   38.6140337
   36.9228223   37.5752755
   40.7339510   37.3129030
   28.3633940   37.2153740
   41.4910380   38.7345610
   34.7141510   38.6246940
   34.6766080   37.9697740
   37.8797210   40.9861660
   40.5176660   41.0255110
   30.3948169   40.7730743
   36.3360667   41.2797031
   41.9419780   37.9274040
   35.1517250   42.0279740
   37.0150217   39.7505450
   27.5116740   40.9780919
   36.5521928   40.3234643
   39.7167633   41.0026969
   39.5482590   39.1061700
   38.7955149   37.1674039
   29.4058825   38.6742286
   43.3729793   38.5012085
   34.8085730   39.8210490
   31.7893800   41.4535210
   34.0297000   38.3686260
   40.2280480   40.2603200
   33.2222430   37.1810090
   33.5088782   39.8397835
   41.1292832   37.8895167
   42.4537140   37.5189740
   32.3338110   41.6376020
   42.7022800   41.1129500
   44.0436151   39.9200596
   29.2841860   40.6548950
   32.6226540   41.1956200
   37.1146610   36.7164770
   36.2464002   37.0746279
   31.1626090   40.8387200
