                                 Şehir        X(Enlem)     Y(Boylam)
                         Aladağ  Adana 001   37.5453480   35.3946080
                         Ceyhan  Adana 002   37.0287650   35.8124309
                       Çukurova  Adana 003   37.0989702   35.1488790
                           Feke  Adana 004   37.8144670   35.9103910
                       İmamoğlu  Adana 005   37.2577330   35.6613060
                      Karaisalı  Adana 006   37.2573500   35.0581510
                        Karataş  Adana 007   36.5664290   35.3839860
                          Kozan  Adana 008   37.4521220   35.8192730
                        Pozantı  Adana 009   37.4255840   34.8736130
                      Saimbeyli  Adana 010   37.9860900   36.0895870
                        Sarıçam  Adana 011   37.1034441   35.5220012
                         Seyhan  Adana 012   36.9914194   35.3308285
                     Tufanbeyli  Adana 013   38.2625370   36.2204840
                     Yumurtalık  Adana 014   36.7686490   35.7882140
                        Yüreğir  Adana 015   36.9914194   35.3308285
             Adıyaman merkez  Adıyaman 016   37.7636500   38.2772592
                       Besni  Adıyaman 017   37.6933940   37.8609080
                    Çelikhan  Adıyaman 018   38.0330700   38.2371970
                      Gerger  Adıyaman 019   38.0288560   39.0322699
                     Gölbaşı  Adıyaman 020   37.7834090   37.6418580
                       Kahta  Adıyaman 021   37.7868990   38.6190050
                      Samsat  Adıyaman 022   37.5792090   38.4824410
                      Sincik  Adıyaman 023   38.0321690   38.6311210
                         Tut  Adıyaman 024   37.7966000   37.9151000
 Afyonkarahisar merkez  Afyonkarahisar 025   38.7568852   30.5387038
              Başmakçı  Afyonkarahisar 026   37.8987840   30.0092850
                 Bayat  Afyonkarahisar 027   38.9842570   30.9239010
              Bolvadin  Afyonkarahisar 028   38.7126000   31.0484000
                   Çay  Afyonkarahisar 029   38.5922569   31.0260430
              Çobanlar  Afyonkarahisar 030   38.7014680   30.7815460
               Dazkırı  Afyonkarahisar 031   37.9199000   29.8601000
                 Dinar  Afyonkarahisar 032   38.0668999   30.1688000
               Emirdağ  Afyonkarahisar 033   39.0202000   31.1510000
               Evciler  Afyonkarahisar 034   38.0418310   29.8858360
               Hocalar  Afyonkarahisar 035   38.5766730   29.9696680
              İhsaniye  Afyonkarahisar 036   39.0318810   30.4167880
             İscehisar  Afyonkarahisar 037   38.8612860   30.7491960
             Kızılören  Afyonkarahisar 038   38.2588000   30.1524000
              Sandıklı  Afyonkarahisar 039   38.4651790   30.2726280
             Sinanpaşa  Afyonkarahisar 040   38.7421880   30.2448100
            Sultandağı  Afyonkarahisar 041   38.5316370   31.2299120
                 Şuhut  Afyonkarahisar 042   38.5328970   30.5444170
                     Ağrı merkez  Ağrı 043   39.7190740   43.0505910
                         Diyadin  Ağrı 044   39.5401000   43.6773000
