   Y(Boylam)    X(Enlem)
   35.3946080   37.5453480
   35.8124309   37.0287650
   35.1488790   37.0989702
   35.9103910   37.8144670
   35.6613060   37.2577330
   35.0581510   37.2573500
   35.3839860   36.5664290
   35.8192730   37.4521220
   34.8736130   37.4255840
   36.0895870   37.9860900
   35.5220012   37.1034441
   35.3308285   36.9914194
   36.2204840   38.2625370
   35.7882140   36.7686490
   35.3308285   36.9914194
   38.2772592   37.7636500
   37.8609080   37.6933940
   38.2371970   38.0330700
   39.0322699   38.0288560
   37.6418580   37.7834090
   38.6190050   37.7868990
   38.4824410   37.5792090
   38.6311210   38.0321690
   37.9151000   37.7966000
   30.5387038   38.7568852
   30.0092850   37.8987840
   30.9239010   38.9842570
   31.0484000   38.7126000
   31.0260430   38.5922569
   30.7815460   38.7014680
   29.8601000   37.9199000
   30.1688000   38.0668999
   31.1510000   39.0202000
   29.8858360   38.0418310
   29.9696680   38.5766730
   30.4167880   39.0318810
   30.7491960   38.8612860
   30.1524000   38.2588000
   30.2726280   38.4651790
   30.2448100   38.7421880
   31.2299120   38.5316370
   30.5444170   38.5328970
   43.0505910   39.7190740
   43.6773000   39.5401000
   44.0687780   39.5470740
   42.6768000   39.8014000
   42.9864090   39.6087560
   42.8633030   39.2335780
   43.4334061   39.6354363
   42.7718000   39.5422000
   33.9140919   38.8689980
   34.0297000   38.3686260
   33.4127930   38.4017580
   34.3461390   38.3943430
   34.3726350   38.2775279
   34.0408000   38.7366000
   33.8445170   38.9849100
   35.8373470   40.6564550
   35.5242420   40.3973990
   35.2159369   40.8736220
   35.0233340   40.7826720
   35.4617530   40.8747700
   35.6455990   40.8364750
   36.3225420   40.7605510
   33.0826629   40.1310990
   32.9833371   40.0092683
   32.3322069   40.0194270
   33.1237710   39.5533740
   31.9204410   40.1682180
   32.4765360   40.4916200
   32.9212265   39.8451842
   33.0326680   40.2387400
   33.2262660   39.9221290
   32.6503510   39.9310354
   33.8057930   39.0202360
   32.8057520   39.7982930
   32.2455300   40.2105120
   32.4956570   39.4342320
   33.4113840   40.1065309
   32.6811820   40.2051670
   32.8310150   40.0210623
   32.6502030   40.4703480
   33.0563914   39.9124056
   31.3506170   40.1888680
   32.1447010   39.5850470
   32.9033560   40.0384630
   32.5842290   39.9667510
   33.5391600   38.9378900
   32.6955470   39.9904289
   31.7903690   37.0459530
   30.8501760   36.9475970
   31.9954080   36.5444430
   29.9874790   36.2444440
   30.6012090   37.0230260
   29.9166620   36.7378380
   30.1460370   36.2971910
   32.3143040   36.2685620
   31.9989580   36.8149420
   31.5955330   37.0959660
   29.6395500   36.1999130
   30.5597620   36.6027920
   30.7133233   36.8968908
